Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,MEASURE error,Operational
78,158.61109208018073,165.77883287094338,0.0115966796875,0.00927734375,0.002685546875,2584.0,0.0003274930807345123,36.0,0.0003274930807345123,0.0,0.0003274930807345123,0.0003274930807345123,0.0123291015625,Yes
79,115.36959038788395,46.71865451446822,0.07763671875,0.094970703125,0.060302734375,2584.0,0.0005167219152149903,36.0,0.0005167219152149903,0.0,0.0005167219152149903,0.0005167219152149903,0.081298828125,Yes
80,172.66667657036848,47.10432890705275,0.01318359375,0.021728515625,0.004638671875,2584.0,0.00030253858305955277,36.0,0.00030253858305955277,0.0,0.00030253858305955277,0.00030253858305955277,0.015869140625,Yes
81,95.10611015120445,69.41087511921022,0.03076171875,0.0302734375,0.03125,2584.0,0.0010301579217410883,36.0,0.0010301579217410883,0.0,0.0010301579217410883,0.0010301579217410883,0.0443115234375,Yes
82,7.414657473463317,6.440762177221647,0.288330078125,0.52392578125,0.052734375,2584.0,1.0,36.0,1.0,0.0,1.0,1.0,0.3697509765625,Yes
83,115.05166724280681,65.32543804730838,0.1649169921875,0.276611328125,0.05322265625,2584.0,0.0006230725975065735,36.0,0.0006230725975065735,0.0,0.0006230725975065735,0.0006230725975065735,0.1328125,Yes
84,179.1694543835581,45.12361347444808,0.0111083984375,0.01953125,0.002685546875,2584.0,0.00052497431388907,36.0,0.00052497431388907,0.0,0.00052497431388907,0.00052497431388907,0.0115966796875,Yes
85,82.6285529255864,64.88679186584736,0.0054931640625,0.007568359375,0.00341796875,2584.0,0.00023325695590018707,36.0,0.00023325695590018707,0.0,0.00023325695590018707,0.00023325695590018707,0.0048828125,Yes
86,152.40946311056894,41.21141818960994,0.0103759765625,0.017578125,0.003173828125,2584.0,0.00045977082471094984,36.0,0.00045977082471094984,0.0,0.00045977082471094984,0.00045977082471094984,0.0196533203125,Yes
87,221.2270709414399,187.87238521657824,0.005859375,0.0078125,0.00390625,2584.0,0.00032547147302850875,36.0,0.00032547147302850875,0.0,0.00032547147302850875,0.00032547147302850875,0.0086669921875,Yes
88,181.17130065746676,148.48695778374463,0.021728515625,0.021484375,0.02197265625,2584.0,0.0001772341092078406,36.0,0.0001772341092078406,0.0,0.0001772341092078406,0.0001772341092078406,0.015869140625,Yes
89,318.19841658247503,229.87469080029058,0.01611328125,0.030517578125,0.001708984375,2584.0,0.00022190001091356178,36.0,0.00022190001091356178,0.0,0.00022190001091356178,0.00022190001091356178,0.016845703125,Yes
90,67.27316280056026,60.161109623347954,0.0711669921875,0.057861328125,0.08447265625,2584.0,0.0005848377008672594,36.0,0.0005848377008672594,0.0,0.0005848377008672594,0.0005848377008672594,0.0843505859375,Yes
91,153.66032826146645,214.6650570703766,0.0057373046875,0.009033203125,0.00244140625,2584.0,0.00040081506595162665,36.0,0.00040081506595162665,0.0,0.00040081506595162665,0.00040081506595162665,0.009765625,Yes
92,295.3781687722669,291.49381375856825,0.004150390625,0.008056640625,0.000244140625,2584.0,0.00028999018061985404,36.0,0.00028999018061985404,0.0,0.00028999018061985404,0.00028999018061985404,0.009033203125,Yes
93,305.23662644138676,233.73610667345892,0.005126953125,0.0078125,0.00244140625,2584.0,0.0002122861025047992,36.0,0.0002122861025047992,0.0,0.0002122861025047992,0.0002122861025047992,0.0125732421875,Yes
94,177.90114156859443,100.43543881090523,0.0089111328125,0.012939453125,0.0048828125,2584.0,7.72707329268876e-05,36.0,7.72707329268876e-05,0.0,7.72707329268876e-05,7.72707329268876e-05,0.00732421875,Yes
95,169.4979272464371,241.72440674857384,0.010986328125,0.0205078125,0.001708984375,2584.0,0.000630422288719354,36.0,0.000630422288719354,0.0,0.000630422288719354,0.000630422288719354,0.0052490234375,Yes
96,164.7543444553998,44.55698691489968,0.051025390625,0.05419921875,0.0478515625,2584.0,0.0006540588501748602,36.0,0.0006540588501748602,0.0,0.0006540588501748602,0.0006540588501748602,0.077880859375,Yes
97,253.84916850080083,48.48749940231116,0.0089111328125,0.01513671875,0.002685546875,2584.0,0.00025536803744023853,36.0,0.00025536803744023853,0.0,0.00025536803744023853,0.00025536803744023853,0.0225830078125,Yes
98,284.1419675394937,63.1641098875418,0.0052490234375,0.007568359375,0.0029296875,2584.0,0.0003772701927347683,36.0,0.0003772701927347683,0.0,0.0003772701927347683,0.0003772701927347683,0.0059814453125,Yes
99,141.6645486138077,26.773608537684872,0.032470703125,0.05224609375,0.0126953125,2584.0,0.00021961245575565682,36.0,0.00021961245575565682,0.0,0.00021961245575565682,0.00021961245575565682,0.0128173828125,Yes
100,124.37307825368546,89.65252617894099,0.00830078125,0.015869140625,0.000732421875,2584.0,0.0005935348691787607,36.0,0.0005935348691787607,0.0,0.0005935348691787607,0.0005935348691787607,0.0076904296875,Yes
101,140.27995421704628,68.46920174845347,0.014892578125,0.02001953125,0.009765625,2584.0,0.00041545247972590437,36.0,0.00041545247972590437,0.0,0.00041545247972590437,0.00041545247972590437,0.0103759765625,Yes
102,96.13867868226605,14.934998291305504,0.03515625,0.067626953125,0.002685546875,2584.0,0.00039142346459763495,36.0,0.00039142346459763495,0.0,0.00039142346459763495,0.00039142346459763495,0.01708984375,Yes
103,101.38928882632749,83.74484498809275,0.01953125,0.037841796875,0.001220703125,2584.0,0.0003913024154318932,36.0,0.0003913024154318932,0.0,0.0003913024154318932,0.0003913024154318932,0.0882568359375,Yes
104,310.80859281594167,241.35078603454915,0.006103515625,0.008056640625,0.004150390625,2584.0,0.00018008268097397632,36.0,0.00018008268097397632,0.0,0.00018008268097397632,0.00018008268097397632,0.010009765625,Yes
105,133.86823986744906,94.40238918972567,0.0111083984375,0.018310546875,0.00390625,2584.0,0.0002402964247473562,36.0,0.0002402964247473562,0.0,0.0002402964247473562,0.0002402964247473562,0.0062255859375,Yes
106,182.11267379021982,120.50426561725384,0.010498046875,0.011962890625,0.009033203125,2584.0,0.00030468433385386843,36.0,0.00030468433385386843,0.0,0.00030468433385386843,0.00030468433385386843,0.01904296875,Yes
107,257.64235505617967,252.3545216810217,0.0238037109375,0.044677734375,0.0029296875,2584.0,0.0003020465341911328,36.0,0.0003020465341911328,0.0,0.0003020465341911328,0.0003020465341911328,0.0072021484375,Yes
108,116.37248423840657,110.8522975851019,0.0155029296875,0.024169921875,0.0068359375,2584.0,0.0008576841226847834,36.0,0.0008576841226847834,0.0,0.0008576841226847834,0.0008576841226847834,0.021240234375,Yes
109,275.7657510379447,106.89039201787664,0.005126953125,0.00927734375,0.0009765625,2584.0,0.00012562568754563818,36.0,0.00012562568754563818,0.0,0.00012562568754563818,0.00012562568754563818,0.0234375,Yes
110,273.34085526367306,290.1318083322329,0.0159912109375,0.0146484375,0.017333984375,2584.0,0.00048314524680011266,36.0,0.00048314524680011266,0.0,0.00048314524680011266,0.00048314524680011266,0.0238037109375,Yes
111,191.91695882148719,132.6848714191198,0.022216796875,0.038330078125,0.006103515625,2584.0,0.00025262841895639407,36.0,0.00025262841895639407,0.0,0.00025262841895639407,0.00025262841895639407,0.0201416015625,Yes
112,326.3757835698191,176.79674278885156,0.0045166015625,0.01025390625,0.00244140625,2584.0,0.00046367221701715147,36.0,0.00046367221701715147,0.0,0.00046367221701715147,0.00046367221701715147,0.0115966796875,Yes
113,177.87628287120592,121.1111020107495,0.457275390625,0.90185546875,0.0126953125,2584.0,1.0,36.0,1.0,0.0,1.0,1.0,0.346435546875,Yes
114,227.9720821528672,262.087610776848,0.005126953125,0.009033203125,0.001220703125,2584.0,0.0002114763158633191,36.0,0.0002114763158633191,0.0,0.0002114763158633191,0.0002114763158633191,0.0064697265625,Yes
115,178.3918276883667,78.88292327561055,0.01611328125,0.01416015625,0.01806640625,2584.0,0.00012396198748959423,36.0,0.00012396198748959423,0.0,0.00012396198748959423,0.00012396198748959423,0.0167236328125,Yes
116,78.88510681359041,44.89244119830195,0.0206298828125,0.024169921875,0.01708984375,2584.0,0.0008776885172951759,36.0,0.0008776885172951759,0.0,0.0008776885172951759,0.0008776885172951759,0.0130615234375,Yes
117,224.80295137380827,9.257876239278525,0.01025390625,0.0146484375,0.005859375,2584.0,0.0004931113258198245,36.0,0.0004931113258198245,0.0,0.0004931113258198245,0.0004931113258198245,0.0145263671875,Yes
118,181.9479362842026,67.6003710866343,0.0076904296875,0.01220703125,0.003173828125,2584.0,0.00022606000188160301,36.0,0.00022606000188160301,0.0,0.00022606000188160301,0.00022606000188160301,0.0391845703125,Yes
