q,node,k_subsets,mean_score,propagated_error,lower_bound,margin,successful_subsets,total_subsets,success_fraction,T1,T2,Prob meas0 prep1,Prob meas1 prep0,readout_length,id_error,single_qubit_gate_length,x_error,rz_error,sx_error,pauli_x_error,measure_error,operational
3,55,3,0.6801666666666666,0.026869616670135,0.6296517873268127,-0.0370148793398539,0,3,0.0,234.2219881180673,85.10478206137012,0.021240234375,0.014404296875,2584.0,0.0002003240682402,36.0,0.0002003240682402,0.0,0.0002003240682402,0.0002003240682402,0.04345703125,Yes
3,56,5,0.64778,0.0209993892292132,0.608301148249079,-0.0583655184175876,0,5,0.0,273.8288637113937,143.27984914757374,0.01318359375,0.00537109375,2584.0,0.0002634160398951,36.0,0.0002634160398951,0.0,0.0002634160398951,0.0002634160398951,0.018798828125,Yes
3,57,5,0.69008,0.0206775809029973,0.6512061479023651,-0.0154605187643015,0,5,0.0,237.37759736665728,170.09010909794247,0.013671875,0.005126953125,2584.0,0.0002957223247631,36.0,0.0002957223247631,0.0,0.0002957223247631,0.0002957223247631,0.0482177734375,Yes
3,58,5,0.6743399999999999,0.0209264316117201,0.6349983085699661,-0.0316683580967005,0,5,0.0,233.8612226275754,235.151948266812,0.033203125,0.01904296875,2584.0,0.0002333923297492,36.0,0.0002333923297492,0.0,0.0002333923297492,0.0002333923297492,0.02587890625,Yes
3,59,3,0.7028333333333333,0.0263852540888529,0.6532290556462897,-0.0134376110203768,0,3,0.0,129.71461386423218,169.1519192134506,0.017822265625,0.0048828125,2584.0,0.0002475943494293,36.0,0.0002475943494293,0.0,0.0002475943494293,0.0002475943494293,0.0274658203125,Yes
3,60,2,0.5645,0.0343423725155965,0.4999363396706786,-0.166730326995988,0,2,0.0,214.4905399565074,187.21562213594973,0.094482421875,0.177490234375,2584.0,0.0004379235077064,36.0,0.0004379235077064,0.0,0.0004379235077064,0.0004379235077064,0.015380859375,Yes
3,61,5,0.5517199999999999,0.021757204599856,0.5108164553522704,-0.1558502113143962,0,5,0.0,303.06861148229217,68.76916816125468,0.025390625,0.005126953125,2584.0,0.0001631485868346,36.0,0.0001631485868346,0.0,0.0001631485868346,0.0001631485868346,0.0250244140625,Yes
3,62,5,0.4761799999999999,0.0223137913407829,0.434230072279328,-0.2324365943873386,0,5,0.0,106.03407904868216,51.93575310216733,0.9560546875,0.007568359375,2584.0,0.0005788713738973,36.0,0.0005788713738973,0.0,0.0005788713738973,0.0005788713738973,0.0108642578125,Yes
3,63,6,0.5771833333333333,0.0196931728863921,0.5401601683069159,-0.1265064983597507,0,6,0.0,226.0353454560652,191.0147731319157,0.03515625,0.02294921875,2584.0,0.0002522396674033,36.0,0.0002522396674033,0.0,0.0002522396674033,0.0002522396674033,0.3626708984375,Yes
3,64,5,0.6442800000000001,0.0211660620806043,0.6044878032884639,-0.0621788633782027,0,5,0.0,272.94379002795773,87.74647845878293,0.017578125,0.0048828125,2584.0,0.0005334049584798,36.0,0.0005334049584798,0.0,0.0005334049584798,0.0005334049584798,0.01171875,Yes
3,65,6,0.6770166666666668,0.0190885863948998,0.6411301242442552,-0.0255365424224114,0,6,0.0,241.0170378286494,65.86703781068778,0.0322265625,0.010009765625,2584.0,0.000361465598157,36.0,0.000361465598157,0.0,0.000361465598157,0.000361465598157,0.0159912109375,Yes
3,66,5,0.6836,0.0207956959008348,0.6445040917064305,-0.0221625749602361,0,5,0.0,59.10656064587748,46.73795755762692,0.020751953125,0.003173828125,2584.0,0.000277615078832,36.0,0.000277615078832,0.0,0.000277615078832,0.000277615078832,0.0037841796875,Yes
3,67,6,0.6879500000000002,0.0189122948692701,0.6523948856457723,-0.0142717810208943,0,6,0.0,243.36149126479268,54.33077563330242,0.037353515625,0.045166015625,2584.0,0.0003975034189755,36.0,0.0003975034189755,0.0,0.0003975034189755,0.0003975034189755,0.02783203125,Yes
3,68,5,0.6868799999999999,0.0207395392427121,0.647889666223701,-0.0187770004429655,0,5,0.0,143.28165413419404,23.382857446603825,0.039794921875,0.001220703125,2584.0,0.0007710385252063,36.0,0.0007710385252063,0.0,0.0007710385252063,0.0007710385252063,0.02294921875,Yes
3,69,6,0.6923499999999999,0.018839525014654,0.6569316929724502,-0.0097349736942163,0,6,0.0,176.9431588349733,21.708863630061057,0.036376953125,0.017578125,2584.0,0.0002260357169437,36.0,0.0002260357169437,0.0,0.0002260357169437,0.0002260357169437,0.0245361328125,Yes
3,70,5,0.6994799999999999,0.0205019655643062,0.6609363047391041,-0.0057303619275624,0,5,0.0,124.86725385904842,21.840673194848176,0.017333984375,0.0029296875,2584.0,0.0002760395404365,36.0,0.0002760395404365,0.0,0.0002760395404365,0.0002760395404365,0.0262451171875,Yes
3,71,6,0.6931166666666666,0.0188131811799894,0.6577478860482864,-0.0089187806183802,0,6,0.0,204.37258532019104,236.04181070463247,0.011962890625,0.0009765625,2584.0,0.0001814735656959,36.0,0.0001814735656959,0.0,0.0001814735656959,0.0001814735656959,0.0234375,Yes
3,72,5,0.6951999999999999,0.0205831616619021,0.6565036560756239,-0.0101630105910427,0,5,0.0,156.51179223653764,10.180360924780992,0.026123046875,0.00146484375,2584.0,0.000364805705504,36.0,0.000364805705504,0.0,0.000364805705504,0.000364805705504,0.0360107421875,Yes
